state,congress,s_upper,s_lower,state_name,race_type,election_name,voter_power,D_running,R_running,cook_rating,name of ballot,ballot_type,source,ballot notes,description,dropdown type,get involved link,supporting organization link
35,,,,New Mexico,Senate,,15.0,Martin Heinrich (incumbent),Nella Domenici,solid-D,,,,,,,,
36,,,,New York,Senate,,1.0,Kirsten Gillibrand (incumbent),Mike Sapraicone,solid-D,,,,,,,,
38,,,,North Dakota,Senate,,9.0,Katrina Christiansen,Kevin Cramer (incumbent),solid-R,,,,,,,,
39,,,,Ohio,Senate,,44.0,Sherrod Brown (incumbent),Bernie Moreno,toss-up,,,,,,,,
42,,,,Pennsylvania,Senate,,10.0,Bob Casey Jr. (incumbent),David McCormick,lean-D,,,,,,,,
44,,,,Rhode Island,Senate,,17.0,Sheldon Whitehouse (incumbent),Patricia Morgan,solid-D,,,,,,,,
47,,,,Tennessee,Senate,,3.0,Gloria Johnson,Marsha Blackburn (incumbent),solid-R,,,,,,,,
48,,,,Texas,Senate,,14.0,Colin Allred,Ted Cruz (incumbent),likely-R,,,,,,,,
49,,,,Utah,Senate,,3.0,Caroline Gleich,John Curtis,solid-R,,,,,,,,
50,,,,Vermont,Senate,,9.0,Bernie Sanders (incumbent),Gerald Malloy,solid-D,,,,,,,,
51,,,,Virginia,Senate,,5.0,Tim Kaine (incumbent),Hung Cao,solid-D,,,,,,,,
53,,,,Washington,Senate,,4.0,Maria Cantwell (incumbent),Raul Garcia,solid-D,,,,,,,,
54,,,,West Virginia,Senate,,3.0,Glenn Elliott,Jim Justice,solid-R,,,,,,,,
55,,,,Wisconsin,Senate,,15.0,Tammy Baldwin (incumbent),Eric Hovde,lean-D,,,,,,,,
56,,,,Wyoming,Senate,,9.0,Scott Morrow,John Barrasso (incumbent),solid-R,,,,,,,,
01,02,,,Alabama,House,Congressional District 2,43.0,Shomari Figures,Caroleene Dobson,likely-D,,,,,,,,
02,at-large,,,Alaska,House,Congressional District (at Large),33.0,Mary Peltola (incumbent),Nicholas Begich,toss-up,,,,,,,,
04,01,,,Arizona,House,Congressional District 1,83.0,Amish Shah,David Schweikert (incumbent),toss-up,,,,,,,,
04,06,,,Arizona,House,Congressional District 6,80.0,Kirsten Engel,Juan Ciscomani (incumbent),toss-up,,,,,,,,
06,47,,,California,House,Congressional District 47,72.0,Dave Min,Scott Baugh,lean-D,,,,,,,,
06,45,,,California,House,Congressional District 45,100.0,Derek Tran,Michelle Steel (incumbent),toss-up,,,,,,,,
06,09,,,California,House,Congressional District 9,33.0,Josh Harder (incumbent),Kevin Lincoln II,likely-D,,,,,,,,
06,49,,,California,House,Congressional District 49,68.0,Mike Levin (incumbent),Matt Gunderson,likely-D,,,,,,,,
06,03,,,California,House,Congressional District 3,36.0,Jessica Morse,Kevin Kiley (incumbent),likely-R,,,,,,,,
06,40,,,California,House,Congressional District 40,26.0,Joe Kerr,Young Kim (incumbent),likely-R,,,,,,,,
06,13,,,California,House,Congressional District 13,76.0,Adam Gray,John Duarte (incumbent),toss-up,,,,,,,,
06,22,,,California,House,Congressional District 22,74.0,Rudy Salas,David G. Valadao (incumbent),toss-up,,,,,,,,
06,27,,,California,House,Congressional District 27,99.0,George Whitesides,Mike Garcia (incumbent),toss-up,,,,,,,,
06,41,,,California,House,Congressional District 41,52.0,Will Rollins,Ken Calvert (incumbent),toss-up,,,,,,,,
08,03,,,Colorado,House,Congressional District 3,57.0,Adam Frisch,Jeff Hurd,likely-R,,,,,,,,
08,08,,,Colorado,House,Congressional District 8,100.0,Yadira Caraveo (incumbent),Gabe Evans,toss-up,,,,,,,,
09,05,,,Connecticut,House,Congressional District 5,87.0,Jahana Hayes (incumbent),George Logan,lean-D,,,,,,,,
12,09,,,Florida,House,Congressional District 9,18.0,Darren Soto (incumbent),Thomas Chalifoux,likely-D,,,,,,,,
12,23,,,Florida,House,Congressional District 23,35.0,Jared Evan Moskowitz (incumbent),Joe Kaufman,likely-D,,,,,,,,
12,13,,,Florida,House,Congressional District 13,34.0,Whitney Fox,Anna Paulina Luna (incumbent),likely-R,,,,,,,,
17,17,,,Illinois,House,Congressional District 17,69.0,Eric Sorenson (incumbent),Joseph G. McGraw,lean-D,,,,,,,,
18,01,,,Indiana,House,Congressional District 1,29.0,Frank Mrvan (incumbent),Randell Niemeyer,lean-D,,,,,,,,
19,03,,,Iowa,House,Congressional District 3,87.0,Lanon Baccam,Zach Nunn (incumbent),lean-R,,,,,,,,
19,01,,,Iowa,House,Congressional District 1,55.0,Christina Bohannan,Mariannette Millter-Meeks (incumbent),lean-R,,,,,,,,
20,03,,,Kansas,House,Congressional District 3,63.0,Sharice Davids (incumbent),Prasanth Reddy,likely-D,,,,,,,,
23,02,,,Maine,House,Congressional District 2,62.0,Jared Golden (incumbent),Austin Theriault,toss-up,,,,,,,,
24,06,,,Maryland,House,Congressional District 6,72.0,April McClain-Delaney,Neil Parrott,likely-D,,,,,,,,
26,10,,,Michigan,House,Congressional District 10,100.0,Carl Marlinga,John James (incumbent),lean-R,,,,,,,,
26,03,,,Michigan,House,Congressional District 3,44.0,Hillary Scholten (incumbent),Paul Hudson,likely-D,,,,,,,,
26,07,,,Michigan,House,Congressional District 7,89.0,Curtis Hertel,Tom Barrett,toss-up,,,,,,,,
26,08,,,Michigan,House,Congressional District 8,50.0,Kristen McDonald Rivet,Paul Junge,toss-up,,,,,,,,
27,02,,,Minnesota,House,Congressional District 2,68.0,Angie Craig (incumbent),Joe Teirab,lean-D,,,,,,,,
30,01,,,Montana,House,Congressional District 1,69.0,Monica Tranel,Ryan K. Zinke (incumbent),likely-R,,,,,,,,
31,02,,,Nebraska,House,Congressional District 2,76.0,Tony Vargas,Don Bacon (incumbent),toss-up,,,,,,,,
32,03,,,Nevada,House,Congressional District 3,64.0,Susie Lee (incumbent),Drew Johnson,lean-D,,,,,,,,
32,01,,,Nevada,House,Congressional District 1,46.0,Dina Titus (incumbent),Mark Robertson,likely-D,,,,,,,,
32,04,,,Nevada,House,Congressional District 4,49.0,Steven Horsford (incumbent),John J. Lee,likely-D,,,,,,,,
33,01,,,New Hampshire,House,Congressional District 1,96.0,Chris Pappas (incumbent),Russell Prescott,likely-D,,,,,,,,
33,02,,,New Hampshire,House,Congressional District 2,87.0,Maggie Goodlander,Lily Williams,likely-D,,,,,,,,
34,07,,,New Jersey,House,Congressional District 7,65.0,Susan Altman,Thomas Kean Jr. (incumbent),toss-up,,,,,,,,
35,02,,,New Mexico,House,Congressional District 2,79.0,Gabriel Vasquez (incumbent),Yvette Herrell,toss-up,,,,,,,,
36,18,,,New York,House,Congressional District 18,90.0,Pat Ryan (incumbent),Alison Esposito,lean-D,,,,,,,,
36,22,,,New York,House,Congressional District 22,91.0,John Mannion,Brandon Williams (incumbent),lean-D,,,,,,,,
36,03,,,New York,House,Congressional District 3,64.0,Tom Suozzi (incumbent),Michael LiPetri Jr.,likely-D,,,,,,,,
36,01,,,New York,House,Congressional District 1,25.0,John Avlon,Nicholas J. LaLota (incumbent),likely-R,,,,,,,,
36,04,,,New York,House,Congressional District 4,98.0,Laura Gillen,Anthony D'Esposito (incumbent),toss-up,,,,,,,,
36,17,,,New York,House,Congressional District 17,91.0,Mondaire Jones,Michael Lawler (incumbent),toss-up,,,,,,,,
36,19,,,New York,House,Congressional District 19,100.0,Josh Riley,Marcus Molinaro (incumbent),toss-up,,,,,,,,
37,01,,,North Carolina,House,Congressional District 1,84.0,Donald Davis (incumbent),Laurie Buckhout,toss-up,,,,,,,,
39,01,,,Ohio,House,Congressional District 1,86.0,Greg Landsman (incumbent),Orlando Sonza,likely-D,,,,,,,,
39,09,,,Ohio,House,Congressional District 9,56.0,Marcy Kaptur (incumbent),Derek Merrin,lean-D,,,,,,,,
39,13,,,Ohio,House,Congressional District 13,79.0,Emilia Sykes (incumbent),Kevin Coughlin,toss-up,,,,,,,,
41,06,,,Oregon,House,Congressional District 6,62.0,Andrea Salinas (incumbent),Mike Erickson,lean-D,,,,,,,,
41,04,,,Oregon,House,Congressional District 4,34.0,Val Hoyle (incumbent),Monique DeSpain,likely-D,,,,,,,,
41,05,,,Oregon,House,Congressional District 5,98.0,Janelle Bynum,Lori Chavez-DeRemer (incumbent),toss-up,,,,,,,,
42,17,,,Pennsylvania,House,Congressional District 17,43.0,Chris Deluzio (incumbent),Rob Mercuri,lean-D,,,,,,,,
42,10,,,Pennsylvania,House,Congressional District 10,48.0,Janelle Stelson,Scott Perry (incumbent),lean-R,,,,,,,,
42,01,,,Pennsylvania,House,Congressional District 1,83.0,Ashley Ehasz,Brian Fitzpatrick (incumbent),likely-R,,,,,,,,
42,07,,,Pennsylvania,House,Congressional District 7,94.0,Susan Wild (incumbent),Ryan Mackenzie,toss-up,,,,,,,,
42,08,,,Pennsylvania,House,Congressional District 8,96.0,Matt Cartwright (incumbent),Rob Bresnahan Jr.,toss-up,,,,,,,,
48,28,,,Texas,House,Congressional District 28,21.0,Henry Cuellar (incumbent),Jay Furman,likely-D,,,,,,,,
48,34,,,Texas,House,Congressional District 34,12.0,Vicente Gonzalez Jr. (incumbent),Mayra Flores,lean-D,,,,,,,,
48,15,,,Texas,House,Congressional District 15,82.0,Michelle Vallejo,Monica De La Cruz (incumbent),likely-R,,,,,,,,
51,07,,,Virginia,House,Congressional District 7,81.0,Eugene Vindman,Derrick Anderson,lean-D,,,,,,,,
51,02,,,Virginia,House,Congressional District 2,78.0,Missy Cotter Smasal,Jennifer Kiggans (incumbent),lean-R,,,,,,,,
53,08,,,Washington,House,Congressional District 8,82.0,Kim Schrier (incumbent),Carmen Goers,likely-D,,,,,,,,
53,03,,,Washington,House,Congressional District 3,80.0,Marie Gluesenkamp Pérez (incumbent),Joe Kent,toss-up,,,,,,,,
55,03,,,Wisconsin,House,Congressional District 3,80.0,Rebecca Cooke,Derrick Van Orden (incumbent),lean-R,,,,,,,,
55,01,,,Wisconsin,House,Congressional District 1,61.0,Peter Barca,Bryan Steil (incumbent),likely-R,,,,,,,,
33,,,,New Hampshire,Governor,,100.0,Joyce Craig,Kelly Ayotte,toss-up,,,,,,,,
37,,,,North Carolina,Governor,,3.0,Josh Stein,Mark K. Robinson,likely D,,,,,,,,
10,,,,Delaware,Governor,,3.0,Matt Meyer,Michael Ramone,safe D,,,,,,,,
18,,,,Indiana,Governor,,100.0,Jennifer McCormick,Mike Braun,safe R,,,,,,,,
29,,,,Missouri,Governor,,3.0,Crystal Quade,Mike Kehoe,safe R,,,,,,,,
30,,,,Montana,Governor,,30.0,Ryan Busse,Greg Gianforte (incumbent),likely R,,,,,,,,
38,,,,North Dakota,Governor,,3.0,Merrill Piepkorn,Kelly Armstrong,safe R,,,,,,,,
49,,,,Utah,Governor,,3.0,Brian King,Spencer Cox (incumbent),safe R,,,,,,,,
50,,,,Vermont,Governor,,30.0,Esther Charlestin,Phil Scott (incumbent),likely R,,,,,,,,
53,,,,Washington,Governor,,30.0,Bob Ferguson,Dave Reichert,likely D,,,,,,,,
54,,,,West Virginia,Governor,,3.0,Steve Williams,Patrick Morrisey,safe R,,,,,,,,
01,,,,Alabama,Governor,,,,,no race,,,,,,,,
02,,,,Alaska,Governor,,,,,no race,,,,,,,,
04,,,,Arizona,Governor,,,,,no race,,,,,,,,
05,,,,Arkansas,Governor,,,,,no race,,,,,,,,
06,,,,California,Governor,,,,,no race,,,,,,,,
08,,,,Colorado,Governor,,,,,no race,,,,,,,,
09,,,,Connecticut,Governor,,,,,no race,,,,,,,,
11,,,,District of Columbia,Governor,,,,,no race,,,,,,,,
12,,,,Florida,Governor,,,,,no race,,,,,,,,
13,,,,Georgia,Governor,,,,,no race,,,,,,,,
15,,,,Hawaii,Governor,,,,,no race,,,,,,,,
16,,,,Idaho,Governor,,,,,no race,,,,,,,,
17,,,,Illinois,Governor,,,,,no race,,,,,,,,
19,,,,Iowa,Governor,,,,,no race,,,,,,,,
20,,,,Kansas,Governor,,,,,no race,,,,,,,,
21,,,,Kentucky,Governor,,,,,no race,,,,,,,,
22,,,,Louisiana,Governor,,,,,no race,,,,,,,,
23,,,,Maine,Governor,,,,,no race,,,,,,,,
24,,,,Maryland,Governor,,,,,no race,,,,,,,,
25,,,,Massachusetts,Governor,,,,,no race,,,,,,,,
26,,,,Michigan,Governor,,,,,no race,,,,,,,,
27,,,,Minnesota,Governor,,,,,no race,,,,,,,,
28,,,,Mississippi,Governor,,,,,no race,,,,,,,,
31,,,,Nebraska,Governor,,,,,no race,,,,,,,,
32,,,,Nevada,Governor,,,,,no race,,,,,,,,
34,,,,New Jersey,Governor,,,,,no race,,,,,,,,
35,,,,New Mexico,Governor,,,,,no race,,,,,,,,
36,,,,New York,Governor,,,,,no race,,,,,,,,
39,,,,Ohio,Governor,,,,,no race,,,,,,,,
40,,,,Oklahoma,Governor,,,,,no race,,,,,,,,
41,,,,Oregon,Governor,,,,,no race,,,,,,,,
42,,,,Pennsylvania,Governor,,,,,no race,,,,,,,,
44,,,,Rhode Island,Governor,,,,,no race,,,,,,,,
45,,,,South Carolina,Governor,,,,,no race,,,,,,,,
46,,,,South Dakota,Governor,,,,,no race,,,,,,,,
47,,,,Tennessee,Governor,,,,,no race,,,,,,,,
48,,,,Texas,Governor,,,,,no race,,,,,,,,
51,,,,Virginia,Governor,,,,,no race,,,,,,,,
55,,,,Wisconsin,Governor,,,,,no race,,,,,,,,
56,,,,Wyoming,Governor,,,,,no race,,,,,,,,
02,,00A,,Alaska,State Leg (Upper),State Senate District A,0.0,,,,,,,,,,,
02,,00B,,Alaska,State Leg (Upper),State Senate District B,14.0,,,,,,,,,,,
02,,00C,,Alaska,State Leg (Upper),State Senate District C,0.0,,,,,,,,,,,
02,,00D,,Alaska,State Leg (Upper),State Senate District D,3.0,,,,,,,,,,,
02,,00E,,Alaska,State Leg (Upper),State Senate District E,0.0,,,,,,,,,,,
02,,00F,,Alaska,State Leg (Upper),State Senate District F,78.0,Janice Park,James Kaufman (incumbent),,,,,,,,,
02,,00G,,Alaska,State Leg (Upper),State Senate District G,0.0,,,,,,,,,,,
02,,00H,,Alaska,State Leg (Upper),State Senate District H,100.0,Matt Claman (incumbent),Thomas McKay,,,,,,,,,
02,,00I,,Alaska,State Leg (Upper),State Senate District I,0.0,,,,,,,,,,,
02,,00J,,Alaska,State Leg (Upper),State Senate District J,31.0,,,,,,,,,,,
02,,00K,,Alaska,State Leg (Upper),State Senate District K,0.0,,,,,,,,,,,
02,,00L,,Alaska,State Leg (Upper),State Senate District L,8.0,,,,,,,,,,,
02,,00M,,Alaska,State Leg (Upper),State Senate District M,0.0,,,,,,,,,,,
02,,00N,,Alaska,State Leg (Upper),State Senate District N,2.0,,,,,,,,,,,
02,,00O,,Alaska,State Leg (Upper),State Senate District O,0.0,,,,,,,,,,,
02,,00P,,Alaska,State Leg (Upper),State Senate District P,43.0,,,,,,,,,,,
02,,00Q,,Alaska,State Leg (Upper),State Senate District Q,0.0,,,,,,,,,,,
02,,00R,,Alaska,State Leg (Upper),State Senate District R,98.0,Savannah Fletcher (Undeclared),Mike Cronk,,,,,,,,,
02,,00S,,Alaska,State Leg (Upper),State Senate District S,0.0,,,,,,,,,,,
02,,00T,,Alaska,State Leg (Upper),State Senate District T,33.0,,,,,,,,,,,
04,,001,,Arizona,State Leg (Upper),State Senate District 1,9.0,,,,,,,,,,,
04,,002,,Arizona,State Leg (Upper),State Senate District 2,86.0,Judy Schwiebert,Shawnna Bolick,,,,,,,,,
04,,003,,Arizona,State Leg (Upper),State Senate District 3,11.0,,,,,,,,,,,
04,,004,,Arizona,State Leg (Upper),State Senate District 4,90.0,Christine Marsh (incumbent),Carine Werner,,,,,,,,,
04,,005,,Arizona,State Leg (Upper),State Senate District 5,5.0,,,,,,,,,,,
04,,006,,Arizona,State Leg (Upper),State Senate District 6,7.0,,,,,,,,,,,
04,,007,,Arizona,State Leg (Upper),State Senate District 7,13.0,,,,,,,,,,,
04,,008,,Arizona,State Leg (Upper),State Senate District 8,12.0,,,,,,,,,,,
04,,009,,Arizona,State Leg (Upper),State Senate District 9,100.0,Eva Burch (incumbent),Robert Scantlebury,,,,,,,,,
04,,010,,Arizona,State Leg (Upper),State Senate District 10,14.0,,,,,,,,,,,
04,,011,,Arizona,State Leg (Upper),State Senate District 11,2.0,,,,,,,,,,,
04,,012,,Arizona,State Leg (Upper),State Senate District 12,38.0,,,,,,,,,,,
04,,013,,Arizona,State Leg (Upper),State Senate District 13,99.0,Sharon Lee Winters,Javan Daniel Mesnard (incumbent),,,,,,,,,
04,,014,,Arizona,State Leg (Upper),State Senate District 14,23.0,,,,,,,,,,,
04,,015,,Arizona,State Leg (Upper),State Senate District 15,9.0,,,,,,,,,,,
04,,016,,Arizona,State Leg (Upper),State Senate District 16,82.0,Stacey Seaman,Thomas Shope (incumbent),,,,,,,,,
04,,017,,Arizona,State Leg (Upper),State Senate District 17,61.0,John McLean,Vince Leach,,,,,,,,,
04,,018,,Arizona,State Leg (Upper),State Senate District 18,22.0,,,,,,,,,,,
04,,019,,Arizona,State Leg (Upper),State Senate District 19,13.0,,,,,,,,,,,
04,,020,,Arizona,State Leg (Upper),State Senate District 20,2.0,,,,,,,,,,,
04,,021,,Arizona,State Leg (Upper),State Senate District 21,9.0,,,,,,,,,,,
04,,022,,Arizona,State Leg (Upper),State Senate District 22,5.0,,,,,,,,,,,
04,,023,,Arizona,State Leg (Upper),State Senate District 23,31.0,,,,,,,,,,,
04,,024,,Arizona,State Leg (Upper),State Senate District 24,7.0,,,,,,,,,,,
04,,025,,Arizona,State Leg (Upper),State Senate District 25,11.0,,,,,,,,,,,
04,,026,,Arizona,State Leg (Upper),State Senate District 26,5.0,,,,,,,,,,,
04,,027,,Arizona,State Leg (Upper),State Senate District 27,54.0,,,,,,,,,,,
04,,028,,Arizona,State Leg (Upper),State Senate District 28,11.0,,,,,,,,,,,
04,,029,,Arizona,State Leg (Upper),State Senate District 29,35.0,,,,,,,,,,,
04,,030,,Arizona,State Leg (Upper),State Senate District 30,2.0,,,,,,,,,,,
20,,001,,Kansas,State Leg (Upper),State Senate District 1,3.0,,,,,,,,,,,
20,,002,,Kansas,State Leg (Upper),State Senate District 2,2.0,,,,,,,,,,,
20,,003,,Kansas,State Leg (Upper),State Senate District 3,43.0,,,,,,,,,,,
20,,004,,Kansas,State Leg (Upper),State Senate District 4,1.0,,,,,,,,,,,
20,,005,,Kansas,State Leg (Upper),State Senate District 5,75.0,Jeff Pittman (incumbent),Jeff Klemp,,,,,,,,,
20,,006,,Kansas,State Leg (Upper),State Senate District 6,9.0,,,,,,,,,,,
20,,007,,Kansas,State Leg (Upper),State Senate District 7,12.0,,,,,,,,,,,
20,,008,,Kansas,State Leg (Upper),State Senate District 8,46.0,,,,,,,,,,,
20,,009,,Kansas,State Leg (Upper),State Senate District 9,43.0,,,,,,,,,,,
20,,010,,Kansas,State Leg (Upper),State Senate District 10,94.0,Andrew Mall,Mike Thompson (incumbent),,,,,,,,,
20,,011,,Kansas,State Leg (Upper),State Senate District 11,74.0,Karen Thurlow,Kellie Warren (incumbent),,,,,,,,,
20,,012,,Kansas,State Leg (Upper),State Senate District 12,2.0,,,,,,,,,,,
20,,013,,Kansas,State Leg (Upper),State Senate District 13,7.0,,,,,,,,,,,
20,,014,,Kansas,State Leg (Upper),State Senate District 14,3.0,,,,,,,,,,,
20,,015,,Kansas,State Leg (Upper),State Senate District 15,3.0,,,,,,,,,,,
20,,016,,Kansas,State Leg (Upper),State Senate District 16,13.0,,,,,,,,,,,
20,,017,,Kansas,State Leg (Upper),State Senate District 17,24.0,,,,,,,,,,,
20,,018,,Kansas,State Leg (Upper),State Senate District 18,9.0,,,,,,,,,,,
20,,019,,Kansas,State Leg (Upper),State Senate District 19,9.0,,,,,,,,,,,
20,,020,,Kansas,State Leg (Upper),State Senate District 20,67.0,Candace Ayars,Brenda Dietrich (incumbent),,,,,,,,,
