state_name,state,congress,s_upper,s_lower,election_name,race_type,voter_power,cook_rating,pivotal election?,structural initiative?,liberties initiative?,ballot type,D_running,R_running,I_independent ,D_link,R_link,I_link,"Margins
(DRA/polls)",Margins (CON22),Margin (Averages),VP w/ avg margins
Nevada ,32,01,nan,nan,Congressional District 1,House,14.0,likely-D,,,,,Dina Titus (incumbent),Mark Robertson,,https://www.dinatitus.com/,https://robertsonforcongress.com/,,15.0,5.6,10.3,0.0
Nevada ,32,04,nan,nan,Congressional District 4,House,29.0,likely-D,,,,,Steven Horsford (incumbent),John J. Lee,,https://www.stevenhorsford.com/,https://electiondeniers.org/,,10.0,4.8,7.4,0.1
New Hampshire,33,01,nan,nan,Congressional District 1,House,18.0,likely-D,,,,,Chris Pappas (incumbent),Russell Prescott,,https://www.chrispappas.org/,https://www.prescottforcongress.com/,,10.5,8.1,9.3,0.1
New Hampshire,33,02,nan,nan,Congressional District 2,House,11.0,likely-D,,,,,Maggie Goodlander,Lily Williams,,https://maggiefornh.com/,https://www.lilytangwilliams.com/,,11.0,11.7,11.4,0.0
New Jersey,34,07,nan,nan,Congressional District 7,House,63.0,toss-up,,,,,Susan Altman,Thomas Kean Jr. (incumbent),,https://www.suealtman.com/,https://tomkean.com/,,-2.0,-2.8,-2.4,0.2
New Mexico,35,02,nan,nan,Congressional District 2,House,62.0,toss-up,,,,,Gabriel Vasquez (incumbent),Yvette Herrell,,https://gabeforcongress.com/,https://electiondeniers.org/,,8.2,0.7,4.5,0.2
New York,36,18,nan,nan,Congressional District 18,House,96.0,lean-D,,,,,Pat Ryan (incumbent),Alison Esposito,,https://www.patryanforcongress.com/,https://www.alisonesposito.com/,,2.5,1.3,1.9,0.3
New York,36,22,nan,nan,Congressional District 22,House,82.0,lean-D,,,,,John Mannion,Brandon Williams (incumbent),,https://www.mannionforny.com/,https://letsvotebrandon.com/,,7.3,-1.0,3.2,0.3
New York,36,03,nan,nan,Congressional District 3,House,51.0,likely-D,,,,,Tom Suozzi (incumbent),Michael LiPetri Jr.,,https://suozziforcongress2024.com/,https://www.lipetriforcongress.com/,,3.0,7.5,5.3,0.2
New York,36,01,nan,nan,Congressional District 1,House,11.0,likely-R,1.0,,,,John Avlon,Nicholas J. LaLota (incumbent),,https://www.johnavlon.com/,https://www.nicklalota.com/,,-8.0,-11.0,-9.5,0.0
New York,36,04,nan,nan,Congressional District 4,House,95.0,toss-up,,,,,Laura Gillen,Anthony D'Esposito (incumbent),,https://lauragillen.com/,https://despositoforcongress.com/,,7.6,-3.6,2.0,0.3
New York,36,17,nan,nan,Congressional District 17,House,68.0,toss-up,,,,,Mondaire Jones,Michael Lawler (incumbent),,https://mondaireforcongress.com/,https://www.lawlerforcongress.com/,,-3.5,-0.6,-2.1,0.2
New York,36,19,nan,nan,Congressional District 19,House,100.0,toss-up,,,,,Josh Riley,Marcus Molinaro (incumbent),,https://www.joshrileyforcongress.com/,https://www.marcforus.com/,,3.0,-1.6,0.7,0.4
North Carolina,37,01,nan,nan,Congressional District 1,House,38.0,toss-up,,,,,Donald Davis (incumbent),Laurie Buckhout,,https://votedondavis.com/,https://www.lauriebuckhoutforcongress.com/,,8.0,4.8,6.4,0.1
Ohio,39,01,nan,nan,Congressional District 1,House,64.0,likely-D,,,,,Greg Landsman (incumbent),Orlando Sonza,,https://www.landsmanforcongress.com/,https://www.orlandosonza.com/,,3.0,5.6,4.3,0.2
Ohio,39,09,nan,nan,Congressional District 9,House,18.0,lean-D,,,,,Marcy Kaptur (incumbent),Derek Merrin,,https://marcykaptur.com/,https://www.derekmerrin.com/,,5.0,13.4,9.2,0.1
Ohio,39,13,nan,nan,Congressional District 13,House,74.0,toss-up,,,,,Emilia Sykes (incumbent),Kevin Coughlin,,https://www.emiliasykesforcongress.com/,https://kevincoughlin.com/,,2.0,5.4,3.7,0.3
Oregon,41,06,nan,nan,Congressional District 6,House,94.0,lean-D,,,,,Andrea Salinas (incumbent),Mike Erickson,,https://www.andreasalinasfororegon.com/,https://mikeericksonforcongress.org/,,2.0,2.4,2.2,0.3
Oregon,41,04,nan,nan,Congressional District 4,House,16.0,likely-D,,,,,Val Hoyle (incumbent),Monique DeSpain,,https://valhoyle.com/,https://www.moniqueforcongress.com/,,11.9,7.4,9.7,0.1
Oregon,41,05,nan,nan,Congressional District 5,House,93.0,toss-up,,,,,Janelle Bynum,Lori Chavez-DeRemer (incumbent),,https://www.janellebynum.com/,https://www.lorichavezderemer.com/,,1.5,-2.1,-0.3,0.3
Pennsylvania,42,17,nan,nan,Congressional District 17,House,22.0,lean-D,,,,,Chris Deluzio (incumbent),Rob Mercuri,,https://chrisforpa.com/,https://www.robmercuri.com/,,10.0,6.8,8.4,0.1
Pennsylvania,42,10,nan,nan,Congressional District 10,House,27.0,lean-R,,,,,Janelle Stelson,Scott Perry (incumbent),,https://janellestelson.com/,https://electiondeniers.org/,,-3.8,-7.6,-5.7,0.0949
Pennsylvania,42,01,nan,nan,Congressional District 1,House,10.0,likely-R,,,,,Ashley Ehasz,Brian Fitzpatrick (incumbent),,https://www.ehaszforcongress.com/,https://www.brianfitzpatrick.com/,,-9.5,-9.8,-9.7,0.0365
Pennsylvania,42,07,nan,nan,Congressional District 7,House,84.0,toss-up,,,,,Susan Wild (incumbent),Ryan Mackenzie,,https://wildforcongress.com/,https://www.mackenzieforcongress.com/,,4.0,2.0,3.0,0.2962962963
Pennsylvania,42,08,nan,nan,Congressional District 8,House,92.0,toss-up,,,,,Matt Cartwright (incumbent),Rob Bresnahan Jr. ,,https://cartwrightcongress.com/,https://robforpa.com/,,2.3,2.4,2.4,0.3253654363
Texas,48,28,nan,nan,Congressional District 28,House,8.0,likely-D,,,,,Henry Cuellar (incumbent),Jay Furman,,https://www.henrycuellar.com/,https://commanderfurman.com/,,12.5,12.7,12.6,0.0298
Texas,48,34,nan,nan,Congressional District 34,House,45.0,lean-D,,,,,Vicente Gonzalez Jr. (incumbent),Mayra Flores,,http://www.vicentegonzalez.com/,https://www.mayrafloresforcongress.com/,,3.0,8.5,5.8,0.1587956431
Texas,48,15,nan,nan,Congressional District 15,House,27.0,likely-R,,,,,Michelle Vallejo,Monica De La Cruz (incumbent),,https://www.michellefortx15.com/,https://www.monicaforcongress.us/,,-3.0,-8.5,-5.8,0.09369194952
Virginia,51,07,nan,nan,Congressional District 7,House,65.0,lean-D,,,,,Eugene Vindman,Derrick Anderson,,https://vindmanforcongress.com/,https://derrickanderson.com/,,3.9,4.6,4.3,0.2304832027
Virginia,51,02,nan,nan,Congressional District 2,House,66.0,lean-R,,,,,Missy Cotter Smasal,Jennifer Kiggans (incumbent),,https://missy4congress.com/,https://jenforcongress.com/,,-1.0,-3.4,-2.2,0.2331278238
Washington,53,08,nan,nan,Congressional District 8,House,66.0,likely-D,,,,,Kim Schrier (incumbent),Carmen Goers,,https://www.drkimschrier.com/,https://www.carmenforwashington.com/,,1.6,6.9,4.2,0.2318043526
Washington,53,03,nan,nan,Congressional District 3,House,98.0,toss-up,,,,,Marie Gluesenkamp Pérez (incumbent),Joe Kent,,https://marieforcongress.com/,https://electiondeniers.org/,,0.0,0.8,0.4,0.3476699896
Wisconsin,55,03,nan,nan,Congressional District 3,House,79.0,lean-R,,,,,Rebecca Cooke,Derrick Van Orden (incumbent),,https://cookeforwisconsin.com/en/,https://electiondeniers.org/,,1.0,-3.7,-1.4,0.2784468599
Wisconsin,55,01,nan,nan,Congressional District 1,House,16.0,likely-R,,,,,Peter Barca,Bryan Steil (incumbent),,https://www.barcaforwisconsin.com/,https://www.bryansteil.com/,,-6.5,-8.9,-7.7,0.05726864512
,00,nan,nan,nan,,,,,,,,,,,,,,,,,,
,00,nan,nan,nan,,,,,,,,,,,,,,,,,,
,00,nan,nan,nan,,,,,,,,,,,,,,,1.4,-0.8,1.0,
